epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,556.026,1.57961,1.06648,1.1461,0.78624,0.69814,0.78226,0.42019,1.53586,0.84142,1.21737,0.000332803,0.000332803,0.000332803
2,2446.31,1.53862,0.80763,1.12366,0.83296,0.73841,0.81218,0.44797,1.47141,0.79185,1.17276,0.000652947,0.000652947,0.000652947
3,2846.23,1.5235,0.77822,1.11733,0.84032,0.79695,0.85801,0.48001,1.43633,0.72512,1.15885,0.000959891,0.000959891,0.000959891
4,3546.59,1.48679,0.7433,1.10321,0.84969,0.79787,0.8607,0.48002,1.44763,0.72472,1.15775,0.0009406,0.0009406,0.0009406
5,4278.49,1.45597,0.70931,1.08842,0.86822,0.78981,0.85808,0.49873,1.39333,0.65782,1.14139,0.0009208,0.0009208,0.0009208
6,4646.71,1.43378,0.6906,1.08075,0.85743,0.82848,0.87741,0.50862,1.3876,0.64703,1.13758,0.000901,0.000901,0.000901
7,4867.49,1.41454,0.66527,1.07026,0.87276,0.83273,0.88443,0.51509,1.39404,0.656,1.13595,0.0008812,0.0008812,0.0008812
8,5104.59,1.40577,0.65638,1.06727,0.88233,0.85086,0.90593,0.53946,1.3692,0.60511,1.12256,0.0008614,0.0008614,0.0008614
9,5463.85,1.39196,0.64364,1.05881,0.89034,0.85671,0.913,0.53639,1.35694,0.60226,1.11266,0.0008416,0.0008416,0.0008416
10,5646.85,1.3735,0.62903,1.05095,0.91033,0.86153,0.91974,0.54727,1.35427,0.58942,1.11404,0.0008218,0.0008218,0.0008218
11,5975.25,1.36945,0.62121,1.05108,0.91625,0.87323,0.92846,0.55706,1.34408,0.58303,1.10407,0.000802,0.000802,0.000802
12,6421.41,1.35801,0.61618,1.04632,0.91973,0.86968,0.92999,0.55989,1.32637,0.57331,1.09827,0.0007822,0.0007822,0.0007822
13,6698.59,1.34789,0.60653,1.04272,0.9009,0.87922,0.92931,0.56481,1.32098,0.56683,1.0913,0.0007624,0.0007624,0.0007624
14,7185.17,1.33728,0.6014,1.03938,0.92244,0.87699,0.93411,0.56749,1.3149,0.55694,1.09098,0.0007426,0.0007426,0.0007426
15,7789.29,1.33482,0.59663,1.03822,0.91194,0.88141,0.93068,0.56288,1.33529,0.56081,1.10946,0.0007228,0.0007228,0.0007228
16,8461.54,1.33395,0.59415,1.03803,0.92176,0.89563,0.94058,0.58265,1.29823,0.53532,1.08594,0.000703,0.000703,0.000703
17,8907.13,1.31622,0.57865,1.0276,0.92823,0.89488,0.94484,0.58217,1.29753,0.53005,1.08722,0.0006832,0.0006832,0.0006832
18,9088.04,1.31383,0.57967,1.02863,0.92894,0.88374,0.93905,0.58135,1.29476,0.535,1.08986,0.0006634,0.0006634,0.0006634
19,10391.5,1.30938,0.57735,1.02765,0.92428,0.89479,0.94752,0.58784,1.28776,0.52482,1.08342,0.0006436,0.0006436,0.0006436
20,10634.6,1.30592,0.56797,1.02619,0.92996,0.89921,0.94982,0.59001,1.29494,0.52277,1.09058,0.0006238,0.0006238,0.0006238
21,11396,1.30023,0.56514,1.02253,0.93429,0.89901,0.94958,0.58991,1.28623,0.51567,1.0838,0.000604,0.000604,0.000604
