epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.693,1.63801,1.30157,1.16988,0.81681,0.72687,0.80926,0.45778,1.43657,0.72848,1.08856,0.00332041,0.00332041,0.00332041
2,426.311,1.49353,0.77875,1.06311,0.80951,0.74328,0.82264,0.45763,1.48193,0.7929,1.12252,0.00659885,0.00659885,0.00659885
3,636.756,1.51744,0.79058,1.0721,0.80989,0.7359,0.79341,0.45321,1.43158,0.79376,1.09034,0.00982229,0.00982229,0.00982229
4,846.279,1.5095,0.78264,1.07329,0.82801,0.74881,0.82312,0.45773,1.4434,0.86512,1.10671,0.0097525,0.0097525,0.0097525
5,1055.39,1.48467,0.75056,1.06506,0.86624,0.78407,0.85535,0.48065,1.42334,0.70784,1.09587,0.00967,0.00967,0.00967
6,1264.06,1.45077,0.72065,1.05496,0.84681,0.80584,0.86662,0.49334,1.42737,0.71816,1.10528,0.0095875,0.0095875,0.0095875
7,1472.47,1.44118,0.70376,1.05013,0.84197,0.75357,0.82825,0.47502,1.43049,0.72506,1.10582,0.009505,0.009505,0.009505
8,1680.84,1.42097,0.6893,1.04302,0.89148,0.83562,0.9031,0.5248,1.39751,0.66216,1.09164,0.0094225,0.0094225,0.0094225
9,1889.51,1.40345,0.67628,1.03971,0.88514,0.84356,0.90397,0.53132,1.34429,0.638,1.06263,0.00934,0.00934,0.00934
10,2097.79,1.39202,0.66202,1.0349,0.89568,0.84369,0.90187,0.53549,1.35026,0.6335,1.06623,0.0092575,0.0092575,0.0092575
11,2306.75,1.3939,0.6597,1.03303,0.90212,0.84812,0.91988,0.53966,1.36394,0.62083,1.07391,0.009175,0.009175,0.009175
12,2514.99,1.37942,0.65489,1.03148,0.8994,0.85088,0.91189,0.54079,1.35384,0.62264,1.07868,0.0090925,0.0090925,0.0090925
13,2723.13,1.37093,0.6414,1.02849,0.89245,0.83497,0.89692,0.53464,1.37759,0.62924,1.08537,0.00901,0.00901,0.00901
14,2931.33,1.36173,0.63512,1.02427,0.91894,0.87414,0.9314,0.55603,1.3336,0.59423,1.05848,0.0089275,0.0089275,0.0089275
15,3140.14,1.35198,0.62749,1.01941,0.91871,0.88106,0.93555,0.56149,1.3267,0.58572,1.05728,0.008845,0.008845,0.008845
16,3348.93,1.34721,0.62411,1.01795,0.91269,0.877,0.93001,0.55632,1.31689,0.59815,1.05645,0.0087625,0.0087625,0.0087625
17,3557.42,1.34236,0.61957,1.01794,0.91602,0.87446,0.93246,0.55819,1.32825,0.58767,1.0576,0.00868,0.00868,0.00868
18,3766.07,1.33574,0.61162,1.01278,0.92177,0.87281,0.93429,0.57219,1.30007,0.57571,1.0477,0.0085975,0.0085975,0.0085975
19,3974.44,1.33062,0.61057,1.01291,0.92441,0.88909,0.94018,0.57519,1.2998,0.566,1.05746,0.008515,0.008515,0.008515
20,4182.92,1.326,0.60391,1.01139,0.92265,0.88889,0.93691,0.57781,1.3002,0.55814,1.04859,0.0084325,0.0084325,0.0084325
21,4391.54,1.32482,0.60313,1.01203,0.92768,0.89214,0.94649,0.57856,1.28916,0.55285,1.04353,0.00835,0.00835,0.00835
22,4599.67,1.31024,0.59716,1.00774,0.93147,0.90168,0.94899,0.5869,1.28978,0.54877,1.04788,0.0082675,0.0082675,0.0082675
23,4808.33,1.30828,0.5934,1.00715,0.93584,0.89799,0.94922,0.58786,1.28312,0.5453,1.04428,0.008185,0.008185,0.008185
24,5016.45,1.31278,0.59476,1.00728,0.92985,0.90294,0.94844,0.58979,1.28232,0.54341,1.04415,0.0081025,0.0081025,0.0081025
25,5225.37,1.30733,0.58944,1.0052,0.92733,0.90336,0.9483,0.5907,1.28408,0.54059,1.04194,0.00802,0.00802,0.00802
26,5433.78,1.30426,0.58567,1.00612,0.93825,0.89563,0.9489,0.59264,1.28058,0.53842,1.04094,0.0079375,0.0079375,0.0079375
27,5641.93,1.30016,0.58454,1.00504,0.93602,0.90526,0.95054,0.59098,1.27658,0.53677,1.03811,0.007855,0.007855,0.007855
28,5850.06,1.30061,0.58471,1.00483,0.93984,0.89887,0.9503,0.59591,1.27631,0.52908,1.03993,0.0077725,0.0077725,0.0077725
29,6058.17,1.29849,0.58123,1.00412,0.93117,0.89792,0.94753,0.59284,1.27313,0.53295,1.04044,0.00769,0.00769,0.00769
