epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.605,1.59726,1.1895,1.15404,0.79871,0.73392,0.81403,0.43179,1.56923,0.80557,1.21423,0.0033244,0.0033244,0.0033244
2,681.558,1.51205,0.76808,1.08399,0.85346,0.775,0.84826,0.47317,1.43973,0.72603,1.13512,0.0066028,0.0066028,0.0066028
3,1023.68,1.57678,0.83068,1.11562,0.65293,0.6021,0.63454,0.31104,1.74987,1.16298,1.317,0.00982621,0.00982621,0.00982621
4,1363.78,1.59263,0.85429,1.13032,0.76504,0.55553,0.63763,0.33957,1.61073,1.10428,1.23437,0.0097525,0.0097525,0.0097525
5,1704.36,1.5426,0.79479,1.11153,0.80235,0.69397,0.75037,0.39744,1.59415,0.88996,1.22291,0.00967,0.00967,0.00967
6,2044.66,1.49757,0.75077,1.0978,0.83076,0.75963,0.83114,0.4678,1.46488,0.73459,1.16956,0.0095875,0.0095875,0.0095875
7,2385.09,1.46582,0.71971,1.0865,0.85238,0.78466,0.85073,0.49041,1.43099,0.68914,1.14318,0.009505,0.009505,0.009505
8,2725.47,1.45271,0.70683,1.07596,0.83792,0.76357,0.8417,0.47005,1.49744,0.72893,1.16865,0.0094225,0.0094225,0.0094225
9,3065.7,1.43395,0.68743,1.06995,0.8841,0.82058,0.88633,0.51559,1.39021,0.63941,1.11357,0.00934,0.00934,0.00934
10,3405.02,1.41401,0.67217,1.06329,0.87489,0.81402,0.88706,0.49991,1.43532,0.68673,1.14116,0.0092575,0.0092575,0.0092575
11,3745.68,1.40396,0.66043,1.05595,0.87045,0.82978,0.88266,0.50915,1.38999,0.63734,1.13007,0.009175,0.009175,0.009175
12,4085.02,1.39324,0.65013,1.05714,0.88489,0.84923,0.90632,0.5345,1.37614,0.6167,1.11313,0.0090925,0.0090925,0.0090925
13,4425.27,1.38789,0.64843,1.05384,0.91315,0.8443,0.90822,0.54194,1.35163,0.58915,1.10665,0.00901,0.00901,0.00901
14,4766.28,1.38266,0.63551,1.04748,0.88004,0.81309,0.89016,0.51018,1.47029,0.66481,1.15036,0.0089275,0.0089275,0.0089275
15,5105.88,1.36899,0.62908,1.04854,0.88402,0.81571,0.892,0.5184,1.42558,0.66782,1.14471,0.008845,0.008845,0.008845
16,5446.06,1.3637,0.62265,1.04535,0.91142,0.87685,0.92673,0.55899,1.33045,0.57111,1.10064,0.0087625,0.0087625,0.0087625
17,5785.93,1.35192,0.61432,1.03969,0.914,0.88316,0.93375,0.56213,1.33949,0.56994,1.10161,0.00868,0.00868,0.00868
18,6125.85,1.35054,0.61032,1.03699,0.91466,0.88048,0.93422,0.57089,1.31328,0.55919,1.08302,0.0085975,0.0085975,0.0085975
19,6466.39,1.34826,0.6081,1.041,0.9232,0.88359,0.93672,0.56757,1.32568,0.55763,1.09959,0.008515,0.008515,0.008515
20,6805.94,1.34357,0.60637,1.03881,0.92682,0.89443,0.9441,0.5827,1.30774,0.54113,1.08779,0.0084325,0.0084325,0.0084325
21,7145.76,1.3327,0.59677,1.03362,0.91881,0.87776,0.93643,0.56365,1.36037,0.56345,1.1144,0.00835,0.00835,0.00835
22,7485.56,1.33085,0.59395,1.03411,0.91945,0.89059,0.94101,0.58456,1.29568,0.53733,1.085,0.0082675,0.0082675,0.0082675
23,7825.5,1.32475,0.59173,1.02935,0.92984,0.89876,0.94348,0.58899,1.29954,0.52495,1.08019,0.008185,0.008185,0.008185
24,8165.29,1.32835,0.58968,1.03007,0.93494,0.89273,0.94499,0.58859,1.29821,0.52366,1.08214,0.0081025,0.0081025,0.0081025
25,8504.88,1.31702,0.58216,1.02701,0.9294,0.9052,0.94913,0.59542,1.27977,0.51662,1.07618,0.00802,0.00802,0.00802
26,8845.23,1.31794,0.58018,1.02679,0.94024,0.90087,0.95044,0.59445,1.28323,0.51507,1.07158,0.0079375,0.0079375,0.0079375
27,9185.07,1.3094,0.57935,1.02492,0.9304,0.906,0.94999,0.59255,1.28352,0.51576,1.07121,0.007855,0.007855,0.007855
28,9524.29,1.3061,0.5761,1.02608,0.94229,0.90419,0.95246,0.6023,1.26854,0.50558,1.07307,0.0077725,0.0077725,0.0077725
29,9863.91,1.30946,0.57227,1.02562,0.93478,0.903,0.94989,0.60082,1.27291,0.50563,1.06912,0.00769,0.00769,0.00769
30,10203.8,1.30494,0.57329,1.02074,0.93487,0.9056,0.94959,0.60416,1.26428,0.50246,1.06848,0.0076075,0.0076075,0.0076075
31,10544.1,1.29891,0.56931,1.02183,0.9358,0.91252,0.95403,0.60467,1.26414,0.50293,1.06816,0.007525,0.007525,0.007525
32,10884.3,1.29242,0.56455,1.01705,0.93718,0.91716,0.95716,0.60751,1.26548,0.4979,1.06586,0.0074425,0.0074425,0.0074425
33,11224.9,1.29702,0.56473,1.02005,0.94314,0.90815,0.95557,0.61064,1.26185,0.49506,1.06559,0.00736,0.00736,0.00736
34,11565.2,1.28853,0.56125,1.017,0.93841,0.91745,0.95764,0.61016,1.26147,0.48939,1.06755,0.0072775,0.0072775,0.0072775
35,11905.4,1.28836,0.56066,1.01688,0.93834,0.91625,0.95772,0.61357,1.25591,0.48897,1.06768,0.007195,0.007195,0.007195
36,12246,1.28824,0.55907,1.01873,0.94217,0.91734,0.95737,0.61382,1.25759,0.48813,1.06512,0.0071125,0.0071125,0.0071125
37,12585.9,1.2866,0.55662,1.01987,0.94114,0.91327,0.9581,0.61056,1.25986,0.4892,1.06771,0.00703,0.00703,0.00703
38,12926.1,1.28356,0.55439,1.0149,0.93983,0.91816,0.95968,0.61412,1.26138,0.4866,1.06836,0.0069475,0.0069475,0.0069475
39,13266.8,1.28075,0.55299,1.01343,0.93864,0.92286,0.95961,0.61632,1.25144,0.48288,1.06222,0.006865,0.006865,0.006865
40,13607.2,1.27665,0.55109,1.01418,0.94174,0.92344,0.96284,0.61891,1.24599,0.48094,1.06034,0.0067825,0.0067825,0.0067825
41,13947.4,1.276,0.54944,1.01312,0.9413,0.92134,0.95984,0.62106,1.24271,0.47667,1.05896,0.0067,0.0067,0.0067
42,14287.2,1.26949,0.54615,1.01382,0.94587,0.9206,0.96269,0.62024,1.24647,0.47735,1.06212,0.0066175,0.0066175,0.0066175
43,14626.3,1.26897,0.54447,1.01288,0.93718,0.92512,0.9609,0.61899,1.24773,0.47534,1.06257,0.006535,0.006535,0.006535
44,14967.5,1.26155,0.54027,1.00788,0.94209,0.92277,0.96304,0.62223,1.24339,0.47233,1.06161,0.0064525,0.0064525,0.0064525
45,15307.2,1.2675,0.54144,1.01083,0.94945,0.9214,0.96328,0.62312,1.2403,0.47,1.05981,0.00637,0.00637,0.00637
46,15647.6,1.25743,0.53789,1.008,0.94562,0.9273,0.96405,0.62307,1.24128,0.46954,1.05881,0.0062875,0.0062875,0.0062875
47,15986.1,1.26088,0.53905,1.00848,0.94251,0.92794,0.96446,0.62632,1.23608,0.4671,1.05713,0.006205,0.006205,0.006205
